FID,city,name,CITY,GDP,1_industry,2_industry,3_industry,sum_NTL,mean_NTL,CNum
0,广州市,白云区,Guangzhou,14340543,317169,3262267,10761107,29013.65204,11.09508682,1
1,广州市,从化区,Guangzhou,3238242,218343,1473408,1546491,7194.799211,0.906374302,1
2,广州市,番禺区,Guangzhou,14836352,254737,5315679,9265936,31026.27003,15.63824094,1
3,广州市,海珠区,Guangzhou,12810891,22008,1933875,10855008,8869.923535,25.34263867,1
4,广州市,花都区,Guangzhou,10094771,295870,5756880,4042021,24832.53525,6.334830421,1
5,广州市,黄埔区,Guangzhou,7559570,12286,4316950,3230334,8468.052522,24.8329986,1
6,广州市,荔湾区,Guangzhou,9419683,48900,2221029,7149754,7013.241939,29.10058896,1
7,广州市,萝岗区,Guangzhou,19902164,55556,14778180,5068428,17061.52158,10.59721837,1
8,广州市,南沙区,Guangzhou,10255876,486743,7554505,2214628,26311.25046,10.88591248,1
9,广州市,天河区,Guangzhou,31097135,17391,3995777,27083967,12417.53815,22.95293557,1
10,广州市,越秀区,Guangzhou,24644490,0,570840,24073650,5279.341571,38.81868802,1
11,广州市,增城市,Guangzhou,8869002,457990,4730293,3680719,19933.36601,3.103435467,1
12,中山市,三乡镇,Zhongshan,1255345,16663,531240,707442,3686.914458,9.91106037,2
13,中山市,坦洲镇,Zhongshan,1435836,72783,718363,644691,4195.549745,7.75517513,2
14,中山市,民众镇,Zhongshan,511331,49917,216006,245408,2103.253326,4.381777763,2
15,中山市,港口镇,Zhongshan,721596,48410,338890,334295,2475.143038,8.715292386,2
16,中山市,沙溪镇,Zhongshan,1067928,28330,524395,515203,3074.260338,14.03771844,2
17,中山市,大涌镇,Zhongshan,479535,19065,278308,182162,1191.25027,7.090775415,2
18,中山市,板芙镇,Zhongshan,777582,40761,476250,260571,1366.427119,4.191494229,2
19,中山市,神湾镇,Zhongshan,282758,13408,182501,86849,1046.898851,4.436012081,2
20,中山市,黄圃镇,Zhongshan,1220416,43412,712056,464948,2344.494354,7.040523584,2
21,中山市,三角镇,Zhongshan,1088040,54150,628586,405304,1799.224041,6.920092464,2
22,中山市,东凤镇,Zhongshan,1503333,29064,844914,629355,2254.969492,9.890217072,2
23,中山市,阜沙镇,Zhongshan,457239,28434,252216,176589,1013.750277,7.089162777,2
24,中山市,东升镇,Zhongshan,1179880,64708,733196,381975,2927.265808,9.823039624,2
25,中山市,南头镇,Zhongshan,1183771,1900,854816,327055,1807.271575,15.715405,2
26,中山市,古镇镇,Zhongshan,1112291,20841,514017,577433,3381.713023,17.61308866,2
27,中山市,小榄镇,Zhongshan,2713104,6815,1589802,1116487,3933.022802,13.89760708,2
28,中山市,横栏镇,Zhongshan,567278,58129,291603,217546,2478.86554,8.518438281,2
29,中山市,南朗镇,Zhongshan,960124,46990,543565,369569,2329.460673,3.745113621,2
30,中山市,五桂山,Zhongshan,271659,8480,139019,124159,929.6818703,2.224119307,2
